variant,metric,mean,std,ci95_half_width
base,accuracy,0.8736979166666666,0.023545756927116048,0.0584956235779194
base,ece,0.7261235472663733,0.020841378620692595,0.05177703322151188
base,nll,1.7374357967424703,0.047055317092048576,0.1169013221565287
base,brier_score,0.628336898634383,0.017063473781333254,0.04239143988168326
base,aurc,0.042509984640754415,0.005290928110700473,0.013144454862903197
lora-r8,accuracy,0.8580729166666666,0.018042195912175804,0.044822916666666664
lora-r8,ece,0.676321436437623,0.015076899225174138,0.03745611680813493
lora-r8,nll,1.5221715601106276,0.034928167650929494,0.08677338144191414
lora-r8,brier_score,0.5666136047027609,0.012907252221335468,0.0320659798579251
lora-r8,aurc,0.0466091793622286,0.005782658111563708,0.014366078492226413
lora-r16,accuracy,0.8541666666666666,0.018042195912175804,0.044822916666666664
lora-r16,ece,0.6445909225294599,0.015763451954685672,0.03916174598608886
lora-r16,nll,1.3936053989830675,0.0434959789666226,0.10805872245519232
lora-r16,brier_score,0.5262864279031055,0.015409702213187843,0.03828291198710143
lora-r16,aurc,0.04937586038691844,0.007766638109796323,0.01929495580638422
lora-r8-hard-negative,accuracy,0.859375,0.02029747040119778,0.05042578125
lora-r8-hard-negative,ece,0.6805423523813564,0.01747935185334552,0.04342462166598702
lora-r8-hard-negative,nll,1.5374527848941433,0.04370000209464785,0.10856558490752702
lora-r8-hard-negative,brier_score,0.571317769909234,0.015645383716957735,0.03886842455191199
lora-r8-hard-negative,aurc,0.04476839700130049,0.0045067055020717554,0.01119618067245617
